[0:06:08] Pom_Mailuu: ขอแค่ลุงไฟเขียว พวกผมพร้อมจะไปเพจไอ้เหี้ยเต็ง
[0:06:15] Dettol212: ดีครับลุง
[0:06:22] owza007thai: @ssecretx ไปได้เลย
[0:06:26] jetdo28: แก้
[0:06:26] jgcnifckkhg: อ่าวนั้นโดนดิ
[0:06:28] 1999ox: ฟังไว้
[0:06:34] bu3blee: อ่าว
[0:06:36] gartaryyyy11: rebirthztvRun rebirthztvRun rebirthztvRun rebirthztvRun
[0:06:36] j4c0b_jc: เต็งๆดูไว้เต็ง
[0:06:38] Esterr012: ฟังนะ
[0:06:40] madness_th: ไอเต็งมันไม่ตัดลงหรอกครับ อันไหนฝั่งนี้แก้ต่าง ขนาด DG มันยังไม่ขอโทษเลย
[0:06:43] dew168: แชทๆใจเย็นๆ อย่าเพิ่งทำนิสัยแบบเขาทำ
[0:06:44] youngbukzz: ที่แฟมหลักใช้โปร
