[0:57:37] Kaminagi_TKP: んおー
[0:57:38] gundora23: 残念だえ～
[0:57:38] froyt_: あげころちゃんおらんかー
[0:57:47] もずくみこみこ: 塗装は何回でも塗り直しできるから大丈夫だぇ
[0:57:48] ten3ten3: 忘れてるって言っていいのかな？
[0:57:50] nsgrn__: だえ～と、う王
[0:58:01] うめた: ころもちゃんカスタムはまた今度だー
[0:58:10] lllogout: 目つぶりながら聞いてたらだえがかわいすぎてWWW
[0:58:13] gundora23: よさそう
[0:58:14] ソルティー_: 安定した！
[0:58:23] しぇぱ3: いいね
[0:58:23] もずくみこみこ: あってるか
[0:58:27] ten3ten3: 良さげ
[0:58:28] zenith_ar: きもちいい
[0:58:29] tricluster: お、操作性良さそう
[0:58:29] ichisanniiroku: ジェスターは良い車だえ～
[0:58:50] もずくみこみこ: 相性良さそうだ
[0:59:14] ichisanniiroku: 走り屋ならエアロもいっぱいつくえ～～
[0:59:16] Kaminagi_TKP: てつおカスタムいいねぇ
[0:59:17] zenith_ar: わきをのかっこよかったな
[0:59:25] nonono090: レースでるのかな
[0:59:56] レヴィ99: 紅白大好きだな
[1:00:09] gundora23: 飛行機きちゃ
[1:00:10] Kaminagi_TKP: セカンダリの範囲が全然ないのか
[1:00:16] もずくみこみこ: そーなんだ
[1:00:46] ichisanniiroku: ほなリバリーか？？
[1:00:50] tricluster: リバリーで何かないかな
[1:00:51] しぇぱ3: うわああああああ
[1:00:57] zenith_ar: うわあああw
[1:00:58] hachiko0000: かっこいい
[1:01:01] Kaminagi_TKP: おーかっけぇ
[1:01:02] うめた: おー
[1:01:07] もずくみこみこ: かっけぇ
[1:01:17] もずくみこみこ: 走り屋だ！
[1:01:32] もずくみこみこ: 赤白だぁ
[1:01:52] ichisanniiroku: 全部いいえ！
[1:01:54] iytreszhii: あ
[1:01:56] アサダおきろ: センス変わってんなーwww
[1:01:58] gundora23: いいねぇ
[1:02:05] tricluster: マルボロｗ
[1:02:29] もずくみこみこ: 最初の方のも良かったなぁ
[1:02:37] rcyijninjn: これ文字は変えられへんの?
[1:02:44] zenith_ar: これかっこいいなぁ
[1:02:46] tricluster: これ反射カラーが赤なんだな
[1:02:53] Kaminagi_TKP: リバリーは固定のしかないからねぇ
[1:03:00] しぇぱ3: これええな
[1:03:02] もずくみこみこ: 渋
[1:03:04] konkon9011: かっこよ
[1:03:05] らんぱ: これいいな
[1:03:06] thiru_sudyn: かっこよ
[1:03:06] ナマコ魚雷: ええやん
[1:03:09] tokino8044: かっこよ
[1:03:12] lllogout: えぐ良い
[1:03:14] なつへ: いかつい
[1:03:15] zenith_ar: 男ウケいいえw
[1:03:16] hachiko0000: お
[1:03:23] tricluster: ワイスピ感
[1:03:25] rcyijninjn: ポルシェみたい
[1:03:28] なつへ: ありやん
[1:03:41] もずくみこみこ: いいねぇ
