[0:03:40] tertouyo: เเจคคุย=?
[0:03:41] boom2212: เพลงนี้ ชื่อเพลงอะไรครับ ชอบบ
[0:03:41] charcoallele: ดีครับ
[0:03:41] IN_warin: ดีครับบบบบ
[0:03:41] bobjay9: คิดว่าวันนี้จะติดคริสะอีก
[0:03:42] gnxb3_: เพลงไรหรอครับแชม
[0:03:42] food________________: ยุคแจ็ค
[0:03:42] noppadonggg: jackey9Nua jackey9Nua
[0:03:42] nattaset8: ดีครับวัยรุ่น8หลัก
[0:03:43] 1_oat: 1_oat subscribed at Tier 1. 
[0:03:43] snb_kt: Dครับ
[0:03:44] adisornnakub: ดีค้าบลุง
[0:03:44] mogun_rgb555: @ovel2dose พี่เลิฟดีค้าล StinkyGlitch
[0:03:45] dagoma555: ดีค๊าบบ
[0:03:45] lukchinmujaa: ดีงับบบบ
[0:03:45] maimoru0208: ดีค้าบบ
[0:03:47] pimsty_: ดีค่าคุณลุง rebirthztvPlease
[0:03:47] f8rseeds: ดีครับ
[0:03:47] donpheebin1990: ดีครับลุง
[0:03:47] visit00: LUL
[0:03:47] taeoai: ย jackey9Ahh_BW
[0:03:48] kong_030: เอ้าๆๆๆๆๆๆๆๆ
[0:03:48] arckerpe: ดีคร้าบลุง
[0:03:48] gxuxtxaxnx_17: ยุคแจ็ค
[0:03:48] mark_ker34: ดีคับลุง
[0:03:49] phakanan9: ดีคับลุงงงงงงงงงงงงง
[0:03:50] arshiwynternelboy: ยุคแม็คยุคคุย555
[0:03:50] vitunchumting: ดีค้าบ
[0:03:50] wuttisak_2001: งับบบบ
[0:03:51] Apollovenusz: <3
[0:03:51] tuek_1997: LUL LUL
[0:03:51] suthichai2007: ดีลุง
[0:03:51] hitz_98: rebirthztvHoldem
[0:03:51] supasakgorach: ดีค้าบบเเก่
[0:03:52] naynay999009: สวัสดีครับ
[0:03:53] aom_ds999: 5555
[0:03:54] OvEl2DoSe: @mogun_rgb555 ดีคับน้องชายย
[0:03:54] pang_nn_: rebirthztvNice
[0:03:54] theearth4e: rebirthztvPlease rebirthztvPlease
[0:03:55] k_direk: ดีคับลุง
[0:03:55] wa_sa_bi_888: ดีครับลุง
[0:03:56] pimpitcha02: ดีน้าบบบ
[0:03:56] porza1996: <3
[0:03:56] chok_love: ดีค้าบบบบบบบบบบบบบลบบบบบบบบบบบ
[0:03:56] nahrak: หยุดแจ๊คหน่อยลุง 555
[0:03:56] jojospxhinx9: ตกจุยย
[0:03:56] dewzx43: bleedPurple
[0:03:57] ren_zaza: ดีก๊าบลุง
[0:03:57] SmyOS3: สวัสดีครับลุง
[0:03:58] jkung01: สวัสดีค้าบลุง
[0:03:59] shiba98_: rebirthztvMuay rebirthztvMuay
[0:03:59] kim8888888: บ้าละ1
[0:04:00] toon36000: ดีครับ
[0:04:00] OvEl2DoSe: ดีคับพี่เอสสส rebirthztvLove rebirthztvLove
[0:04:00] gtajakdw: หวัดดีค้าบบบคิดถึงลุงจัดๆ
[0:04:00] apisit_1618: สวัสดีครับพี่เอส
[0:04:00] ekarat47: มาเร็วจ๊าดดดด
[0:04:00] kobe790: ดีค้าบบบลุง
[0:04:01] samxhost: ดรครัฟ
[0:04:01] goqiw8he: ดีครับ
[0:04:01] poxd_206: ดีครับ
[0:04:02] 1_oat: rebirthztvJak
[0:04:03] naruebed1503: สวัสดีครับลุงง
[0:04:03] microwavexa: ดีครับพี่เอส
[0:04:03] soranan_50: rebirthztvSunn
[0:04:04] OvEl2DoSe: ดีคับทุกคนนนน
[0:04:04] Tanglerrz: วันนี้มาไวววว
[0:04:05] darksun_16: ดีคับทุกคน
[0:04:05] toeyamrpp: rebirthztvPlease
[0:04:05] zetzeroalone: มาไวจังครับ
[0:04:06] roninnaja2: roninnaja2 subscribed at Tier 1. They've subscribed for 3 months! 
[0:04:08] gonkun01: ดีค้าบบบ
[0:04:08] winsavex: ดีค่าบ
[0:04:09] four2550: ดีครับ
[0:04:10] tap300450: เสียไม่ได้
[0:04:10] Puripat01: rebirthztvLove rebirthztvLove
[0:04:11] cooperx159: rebirthztvPlease rebirthztvPlease
[0:04:11] bankth123456: ดีค้าบลุง
[0:04:12] toonn_2008: WutFace WutFace WutFace WutFace WutFace
[0:04:12] name_thakaskon: สัปดานี้ลุงหยุดป่อยมาก
[0:04:13] phijijttra332: !sc
[0:04:13] regsxh: ดีค้าบ
[0:04:14] reto_66: วันนี้เอาบอสมาได้ไหมครับ
[0:04:15] food________________: ยุคแจ็คครับ
[0:04:16] js_crepe: ดีครับ
[0:04:16] pinoza145: ลุงสวัสดีครับ
[0:04:17] thechoclee: ดีครับ
[0:04:18] barcil1234: ดีน้าบบบ
[0:04:18] zatons: ดีครับลุง
[0:04:19] pahjove_log8: เฮื้บๆๆ
[0:04:21] anirut_mote: ยาวไป
[0:04:21] ZCyclops_: สวัสดีครับพี่เอส
[0:04:21] taonebigboy: คถน้าบ
[0:04:22] newkop47: สวัสดีค้าบบบ
[0:04:22] opec567: opec567 subscribed at Tier 1. They've subscribed for 12 months! 1ปีแล้ว
[0:04:22] gamehub111: rebirthztvNarukeu
[0:04:23] kihgzztv: เข้ๆๆ
[0:04:23] sek_kkkk: สวัสดีครับพี่ดาบที่ผมโพสต์ไปต้องขอโทษด้วยนะครับ
[0:04:23] kengzaion: rebirthztvOmgrebirthztvOmgrebirthztvOmgrebirthztvOmgrebirthztvOmg
[0:04:24] visit00: @ovel2dose ดีครับ
[0:04:24] fourdogz55: ดีค้าบลุง
